X, wida, manhattan,2,15puzzle, "12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10", 98, 108, 15310, 0.003805, 4.02365e+06
X, wida, manhattan,2,15puzzle, "8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4", 114, 120, 535990, 0.133221, 4.02331e+06
X, wida, manhattan,2,15puzzle, "9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 91, 105, 649, 0.000202, 3.21287e+06
X, wida, manhattan,2,15puzzle, "11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8", 94, 108, 53502, 0.013721, 3.89928e+06
X, wida, manhattan,2,15puzzle, "8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7", 90, 108, 14395, 0.003597, 4.00195e+06
X, wida, manhattan,2,15puzzle, "4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10", 76, 90, 1577, 0.000427, 3.69321e+06
X, wida, manhattan,2,15puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B", 132, 144, 165549, 0.041869, 3.95398e+06
X, wida, manhattan,2,15puzzle, "12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13", 86, 96, 11229, 0.002824, 3.97627e+06
X, wida, manhattan,2,15puzzle, "3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13", 105, 117, 19590, 0.004902, 3.99633e+06
X, wida, manhattan,2,15puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11", 87, 105, 488707, 0.124959, 3.91094e+06
X, wida, manhattan,2,15puzzle, "6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12", 93, 105, 5214, 0.001393, 3.743e+06
X, wida, manhattan,2,15puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14", 103, 117, 286105, 0.073397, 3.89805e+06
X, wida, manhattan,2,15puzzle, "10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8", 85, 99, 3151, 0.000882, 3.57256e+06
X, wida, manhattan,2,15puzzle, "12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1", 103, 117, 31553, 0.008124, 3.88392e+06
X, wida, manhattan,2,15puzzle, "10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12", 120, 132, 6689, 0.001754, 3.81357e+06
X, wida, manhattan,2,15puzzle, "10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5", 102, 114, 2087, 0.000565, 3.69381e+06
X, wida, manhattan,2,15puzzle, "14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6", 136, 150, 77745, 0.020577, 3.77825e+06
X, wida, manhattan,2,15puzzle, "12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1", 106, 120, 1731, 0.000494, 3.50405e+06
X, wida, manhattan,2,15puzzle, "13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11", 71, 87, 4773, 0.001286, 3.71151e+06
X, wida, manhattan,2,15puzzle, "3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8", 75, 87, 14613, 0.003755, 3.89161e+06
X, wida, manhattan,2,15puzzle, "5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14", 98, 108, 245628, 0.063183, 3.88756e+06
X, wida, manhattan,2,15puzzle, "5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 103, 111, 66412, 0.017368, 3.82381e+06
X, wida, manhattan,2,15puzzle, "15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3", 91, 105, 14954, 0.003875, 3.8591e+06
X, wida, manhattan,2,15puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B", 136, 144, 6846, 0.001906, 3.59182e+06
X, wida, manhattan,2,15puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15", 81, 93, 117742, 0.030003, 3.92434e+06
X, wida, manhattan,2,15puzzle, "4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5", 119, 129, 41831, 0.010803, 3.87217e+06
X, wida, manhattan,2,15puzzle, "8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3", 108, 120, 13098, 0.003519, 3.72208e+06
X, wida, manhattan,2,15puzzle, "5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1", 79, 93, 39764, 0.010287, 3.86546e+06
