grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, id_dfs, pancake16, "0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15", 3, 18669, 0.000545, 3.4255e+07
X, id_dfs, pancake16, "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15", 6, 99523075, 2.59477, 3.83553e+07
X, id_dfs, pancake16, "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9", na, na, na, na
X, id_dfs, pancake16, "6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0", 8, 3083170423, 196.741, 1.56712e+07
X, id_dfs, pancake16, "13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14", na, na, na, na
X, id_dfs, pancake16, "3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15", 4, 158055, 0.013868, 1.13971e+07
X, id_dfs, pancake16, "7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15", 3, 21353, 0.00061, 3.50049e+07
X, id_dfs, pancake16, "10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15", 4, 315594, 0.018873, 1.6722e+07
X, id_dfs, pancake16, "12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15", na, na, na, na
X, id_dfs, pancake16, "4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6", na, na, na, na
X, id_dfs, pancake16, "5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4", 8, 3614570597, 92.79, 3.89543e+07
X, id_dfs, pancake16, "3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15", 4, 443099, 0.034328, 1.29078e+07
X, id_dfs, pancake16, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 636, 7.3e-05, 8.71233e+06
X, id_dfs, pancake16, "6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4", 4, 582877, 0.026742, 2.17963e+07
X, id_dfs, pancake16, "15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12", 4, 659558, 0.048667, 1.35525e+07
X, id_dfs, pancake16, "12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15", na, na, na, na
X, id_dfs, pancake16, "11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0", 4, 278429, 0.024994, 1.11398e+07
X, id_dfs, pancake16, "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7", na, na, na, na
X, id_dfs, pancake16, "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15", 4, 205788, 0.018921, 1.08762e+07
X, id_dfs, pancake16, "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15", 2, 1315, 5.7e-05, 2.30702e+07
X, id_dfs, pancake16, "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11", na, na, na, na
X, id_dfs, pancake16, "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15", 6, 20872964, 0.602847, 3.4624e+07
X, id_dfs, pancake16, "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15", 3, 26644, 0.001841, 1.44726e+07
X, id_dfs, pancake16, "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15", na, na, na, na
X, id_dfs, pancake16, "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13", na, na, na, na
X, id_dfs, pancake16, "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15", 6, 40990766, 1.10244, 3.7182e+07
X, id_dfs, pancake16, "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1", na, na, na, na
X, id_dfs, pancake16, "5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15", 2, 305, 0.000116, 2.62931e+06
X, id_dfs, pancake16, "7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15", 2, 561, 3.9e-05, 1.43846e+07
X, id_dfs, pancake16, "6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15", 2, 1330, 0.000122, 1.09016e+07
X, id_dfs, pancake16, "1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15", 2, 1149, 5.6e-05, 2.05179e+07
X, id_dfs, pancake16, "13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15", 3, 39791, 0.00112, 3.55277e+07
X, id_dfs, pancake16, "15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5", na, na, na, na
X, id_dfs, pancake16, "4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12", na, na, na, na
X, id_dfs, pancake16, "14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0", na, na, na, na
X, id_dfs, pancake16, "0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 1, 8.5e-05, 11764.7
